"X201728"	"XNextWeek1"	"XNextWeek2"	"XNextWeek3"
"11122"	102227,700506228	387534,44954153	444821,738717809	278630,434320613
"11123"	106958,462146007	488559,715908047	640659,719987019	431231,222353685
"11124"	16136,2246260704	31211,2034492984	43079,0491643138	22191,0554123314
"11127"	121403,168750198	167766,233352998	171802,589994196	56425,6540732692
"11129"	177240,328380019	915928,788415509	940343,475949576	582486,469231705
"11133"	222216,166178567	303673,948144995	311066,480389983	101784,971127024
"11136"	410351,700852634	555521,349821984	569325,875830679	184713,549915533
"11137"	494049,238533476	666259,179370504	683001,452640313	221399,351499318
"11138"	482821,99553489	1014838,42137292	1170110,85395471	275054,865269566
"11144"	5854545,42665463	8859168,05805688	8960319,40586379	1855480,79778256
"11146"	2116579,63303052	2911712,76950935	2964581,25226818	796719,282618166
"11162"	45296,2767757238	80406,0285846621	83277,0231812733	102113,914729563
"11164"	112933,464627533	172270,167766633	195061,972331068	176853,688797782
"11167"	62408,9781676532	80293,5335704158	112369,046238358	109477,174919699
"11168"	79348,8306657677	115178,544448637	268445,909616933	283052,156322288
"11173"	32940,1836693033	40070,3180013824	52304,3972955398	52882,6195325134
"11179"	27807,0709860655	31328,2381980092	39490,0498657141	40699,9743065599
"11183"	24231,7505457857	20852,2793115597	22639,9329066804	25797,0299160449
"11184"	24473,2192179242	20364,8511276498	21786,7162488991	25132,0151149108
"11186"	24547,1959307947	19618,5167116977	20893,759872288	24155,8228224418
"11193"	96486,2707417416	32216,695674411	13037,4026445512	40733,7304926501
"11194"	109786,810209639	35896,2488168822	13593,6193446485	45650,9761837569
"11196"	83436,2697269867	28450,5306781967	12231,5377255134	35830,2755720603
"11198"	129146,59832922	41186,7967177813	14225,1749532322	52718,1315114528
"11201"	194081,602842168	58782,7947886044	15138,3442298564	76210,7006250814
"11204"	240437,07188198	72185,9621928414	16016,9499772551	93124,6807639396
"11205"	352237,491985863	119128,565089258	15877,8176651263	133746,452997963
"11206"	249691,190337391	75187,5258527668	17120,582126562	96511,2817091217
"11207"	213884,992125947	61118,9729775106	18567,7580106258	83228,2328077389
"11208"	202793,208426744	59227,0175366313	19033,20201704	79247,3194375326
"11209"	186557,532167047	56380,9587658011	19582,7600516281	73402,6446646806
"11216"	67421,2753052963	110886,106353031	140953,911429802	48763,98366508
"11217"	108273,64841158	207344,014173136	269051,062362266	84944,5397039096
"11219"	36008,728111535	57469,3728992308	72629,3823416253	25595,4875442666
"11225"	410289,980515322	793204,192009919	629820,564831878	1418389,00470254
"11232"	120080,368774114	181562,731941958	98320,7143272746	202526,020495658
"11238"	161661,694140587	241594,191430218	126315,700706248	260448,569359191
"11240"	178861,090314393	268817,331835165	142819,186546164	294250,373329214
"11241"	43439,5488275475	75603,5435996291	77636,9583215661	104898,930190495
"11242"	193901,946918628	291713,305333865	155321,483095514	320529,243341867
"11248"	329555,355430418	472090,251314816	216136,458187575	479619,358129793
"11251"	1019404,71879578	1465123,91854711	650888,111739412	1270790,25693803
"11252"	1079493,85354311	1657553,70989567	707714,890865227	1572875,59733593
"11258"	23124,7669479703	34422,9022009448	54889,6897463924	25829,9831243759
"11269"	741898,018520792	806322,251545156	943001,347924229	391634,07753305
"11270"	1325,30000113868	3458,64758074312	6026,43173521885	2895,70316906865
"11271"	976,285269426335	2578,45185640805	4459,19608771468	2156,59239680244
"11272"	893,181210397145	2366,91403396969	4084,75020781458	1979,09770971977
"11273"	1380,75542547957	3597,41506693799	6274,73361865073	3012,29566386332
"11274"	367271,38456566	385422,553639631	455308,721138123	186036,717936135
"11276"	1473,86821818122	3829,81466624294	6691,24975547554	3207,5943238479
"11290"	41786,4474446512	39984,8711282777	33399,5240061645	39496,0116654466
"11298"	76973,4979323793	90474,5328847368	68787,6764147832	90410,9709695119
